idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;0;Укупно;3175
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;00;Генерички програми и квалификације;0
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;01;Образовање;209
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;02;Уметности и хуманистичке науке;562
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;03;Друштвене науке, новинарство и информисање;396
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;04;Пословање, администрација и право;729
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;05;Природне науке, математика и статистика;218
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;06;Информационе и комуникационе технологије (ИКТ);78
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;07;Инжењерство, производња и грађевинарство;393
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;185
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;09;Здравство и социјална помоћ;161
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;10;Услуге;244
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;0;Укупно;2279
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;00;Генерички програми и квалификације;0
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;01;Образовање;180
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;02;Уметности и хуманистичке науке;542
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;03;Друштвене науке, новинарство и информисање;312
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;04;Пословање, администрација и право;437
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;05;Природне науке, математика и статистика;80
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;06;Информационе и комуникационе технологије (ИКТ);63
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;07;Инжењерство, производња и грађевинарство;277
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;174
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;09;Здравство и социјална помоћ;131
1104020402IND01;RS1;СРБИЈА – СЕВЕР;00;2016;10;Услуге;83
1104020402IND01;RS11;Београдски регион;00;2016;0;Укупно;1604
1104020402IND01;RS11;Београдски регион;00;2016;00;Генерички програми и квалификације;0
1104020402IND01;RS11;Београдски регион;00;2016;01;Образовање;85
1104020402IND01;RS11;Београдски регион;00;2016;02;Уметности и хуманистичке науке;429
1104020402IND01;RS11;Београдски регион;00;2016;03;Друштвене науке, новинарство и информисање;256
1104020402IND01;RS11;Београдски регион;00;2016;04;Пословање, администрација и право;264
1104020402IND01;RS11;Београдски регион;00;2016;05;Природне науке, математика и статистика;57
1104020402IND01;RS11;Београдски регион;00;2016;06;Информационе и комуникационе технологије (ИКТ);25
1104020402IND01;RS11;Београдски регион;00;2016;07;Инжењерство, производња и грађевинарство;209
1104020402IND01;RS11;Београдски регион;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;123
1104020402IND01;RS11;Београдски регион;00;2016;09;Здравство и социјална помоћ;81
1104020402IND01;RS11;Београдски регион;00;2016;10;Услуге;75
1104020402IND01;RS12;Регион Војводине;00;2016;0;Укупно;675
1104020402IND01;RS12;Регион Војводине;00;2016;00;Генерички програми и квалификације;0
1104020402IND01;RS12;Регион Војводине;00;2016;01;Образовање;95
1104020402IND01;RS12;Регион Војводине;00;2016;02;Уметности и хуманистичке науке;113
1104020402IND01;RS12;Регион Војводине;00;2016;03;Друштвене науке, новинарство и информисање;56
1104020402IND01;RS12;Регион Војводине;00;2016;04;Пословање, администрација и право;173
1104020402IND01;RS12;Регион Војводине;00;2016;05;Природне науке, математика и статистика;23
1104020402IND01;RS12;Регион Војводине;00;2016;06;Информационе и комуникационе технологије (ИКТ);38
1104020402IND01;RS12;Регион Војводине;00;2016;07;Инжењерство, производња и грађевинарство;68
1104020402IND01;RS12;Регион Војводине;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;51
1104020402IND01;RS12;Регион Војводине;00;2016;09;Здравство и социјална помоћ;50
1104020402IND01;RS12;Регион Војводине;00;2016;10;Услуге;8
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;0;Укупно;896
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;00;Генерички програми и квалификације;0
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;01;Образовање;29
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;02;Уметности и хуманистичке науке;20
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;03;Друштвене науке, новинарство и информисање;84
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;04;Пословање, администрација и право;292
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;05;Природне науке, математика и статистика;138
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;06;Информационе и комуникационе технологије (ИКТ);15
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;07;Инжењерство, производња и грађевинарство;116
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;11
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;09;Здравство и социјална помоћ;30
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;10;Услуге;161
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;0;Укупно;250
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;00;Генерички програми и квалификације;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;01;Образовање;24
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;02;Уметности и хуманистичке науке;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;03;Друштвене науке, новинарство и информисање;16
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;04;Пословање, администрација и право;119
