idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;0;Укупно;201445
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;00;Генерички програми и квалификације;0
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;01;Образовање;14813
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;02;Уметности и хуманистичке науке;22370
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;03;Друштвене науке, новинарство и информисање;24856
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;04;Пословање, администрација и право;41195
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;05;Природне науке, математика и статистика;11035
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;06;Информационе и комуникационе технологије (ИКТ);18236
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;07;Инжењерство, производња и грађевинарство;36742
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;6178
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;09;Здравство и социјална помоћ;8087
1104010103IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;10;Услуге;17933
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2016;0;Укупно;156525
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2016;00;Генерички програми и квалификације;0
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2016;01;Образовање;10477
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2016;02;Уметности и хуманистичке науке;19034
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2016;03;Друштвене науке, новинарство и информисање;21783
1104010103IND01;RS1;СРБИЈА – СЕВЕР;00;2016;04;Пословање, администрација и право;28855
