idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2007;0;Укупно;145493
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2007;1;Мушко;68636
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2007;2;Женско;76857
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2008;0;Укупно;161038
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2008;1;Мушко;75844
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2008;2;Женско;85194
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;0;Укупно;195256
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;1;Мушко;87353
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;2;Женско;107903
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2015;0;Укупно;196631
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2015;1;Мушко;89986
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2015;2;Женско;106645
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;0;Укупно;201445
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;1;Мушко;90635
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2016;2;Женско;110810
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2013;0;Укупно;195686
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2013;1;Мушко;89247
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2013;2;Женско;106439
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2014;0;Укупно;190416
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2014;1;Мушко;86603
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2014;2;Женско;103813
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2011;0;Укупно;184106
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2011;1;Мушко;83976
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2011;2;Женско;100130
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2012;0;Укупно;193255
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2012;1;Мушко;87021
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2012;2;Женско;106234
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2009;0;Укупно;174777
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2009;1;Мушко;80255
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2009;2;Женско;94522
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2010;0;Укупно;184237
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2010;1;Мушко;83749
11040101IND01;RS;РЕПУБЛИКА СРБИЈА;00;2010;2;Женско;100488
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2007;0;Укупно;111430
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2007;1;Мушко;52444
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2007;2;Женско;58986
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2008;0;Укупно;121209
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2008;1;Мушко;57275
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2008;2;Женско;63934
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2017;0;Укупно;152869
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2017;1;Мушко;68796
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2017;2;Женско;84073
